"author","title","journal","year","doi_link","article.type"
"Kang C O","Mastectomy in Transgender and Cisgender Patients: A Comparative Analysis of Epidemiology and Postoperative Outcomes","Plastic and Reconstructive Surgery - Global Open",2019,"journals.lww.com/01720096-201906000-00007","Data Analysis"
"Morrison S D","Masculinizing Top Surgery: A Systematic Review of Techniques and Outcomes","Annals of Plastic Surgery",2018,"journals.lww.com/annalsplasticsurgery/abstract/2018/06000/masculinizing_top_surgery__a_systematic_review_of.18.aspx","Data Analysis"
"Warus J","Chest Reconstruction and Chest Dysphoria in Transmasculine Minors and Young Adults: Comparisons of Nonsurgical and Postsurgical Cohorts","JAMA Pediatrics",2018,"http://archpedi.jamanetwork.com/article.aspx?doi=10.1001/jamapediatrics.2017.5440","Data Analysis"
"Scheefer M F","Quality of life improvement after chest wall masculinization in female-to-male transgender patients: A prospective study using the BREAST-Q and Body Uneasiness Test","Journal of Plastic, Reconstructive & Aesthetic Surgery",2018,"www.researchgate.net/publication/394441514_Improvement_in_Quality_of_Life_in_Transmasculine_Individuals_After_Chest_Masculinization_Surgery","Review"
"Kreukels B P C","Body Image in Transmen: Multidimensional Measurement and the Effects of Mastectomy","The Journal of Sexual Medicine",2016,"www.sciencedirect.com/science/article/pii/S1743609516304052?via%3Dihub","Data Analysis"
"Öberg K","An Analysis of All Applications for Sex Reassignment Surgery in Sweden, 1960–2010: Prevalence, Incidence, and Regrets","Archives of Sexual Behavior",2014,"http://link.springer.com/10.1007/s10508-014-0300-8","Data Analysis"
"Van Goozen S H","Adolescents With Gender Identity Disorder Who Were Accepted or Rejected for Sex Reassignment Surgery: A Prospective Follow-up Study","Journal of the American Academy of Child & Adolescent Psychiatry",2001,"linkinghub.elsevier.com/retrieve/pii/S089085670960397X","Data Analysis"
"Friedmann C","Treatment of requests for sex-change surgery with psychotherapy","American Journal of Psychiatry",1976,"http://ajp.psychiatryonline.org/doi/10.1176/ajp.133.10.1194","Data Analysis"
"Madec F X","Urethral complications after gender-affirming genital surgery: prevention and reconstructive management","Current Opinion in Urology",2026,"journals.lww.com/co-urology/abstract/9900/urethral_complications_after_gender_affirming.333.aspx","Review"
"Younoszai M","Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study","Annals of Surgery Open",2026,"journals.lww.com/aosopen/fulltext/2026/06000/patient_reported_outcomes_and_body_mass_index_in.28.aspx","Data Analysis"
"Vervalcke J","Bone health in gender-diverse individuals: current challenges and future directions","Hormones",2026,"doi.org/10.1007/s42000-026-00793-0","Review"
"Vlot M C","Bone Mineral Density in Transgender Adolescents Treated With Puberty Suppression and Subsequent Gender-Affirming Hormones","JAMA Pediatrics",2023,"jamanetwork.com/journals/jamapediatrics/fullarticle/2811155","Data Analysis"
"Dubois V","Impact of gender-affirming treatment on bone health in transgender and gender diverse youth","Endocrine Connections",2022,"ec.bioscientifica.com/view/journals/ec/11/11/EC-22-0280.xml","Review"
"Meisman A R","Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study","Journal of Clinical Densitometry",2022,"linkinghub.elsevier.com/retrieve/pii/S1094695022000713","Data Analysis"
"Finlayson C","Low Bone Mineral Density in Early Pubertal Transgender/Gender Diverse Youth: Findings From the Trans Youth Care Study","Journal of the Endocrine Society",2020,"academic.oup.com/jes/article/doi/10.1210/jendso/bvaa065/5866143","Data Analysis"
"Ting J","The effect of GnRH analogue treatment on bone mineral density in young adolescents with gender dysphoria: findings from a large national cohort","Journal of Pediatric Endocrinology and Metabolism",2019,"http://www.degruyter.com/view/j/jpem.2019.32.issue-10/jpem-2019-0046/jpem-2019-0046.xml","Data Analysis"
"Tangpricha V","Osteoporosis and Bone Health in Transgender Persons","Endocrinology and Metabolism Clinics of North America",2019,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6487870/","Review"
"Iwamoto S J","Bone Health in the Transgender Population","Clinical Reviews in Bone and Mineral Metabolism",2019,"http://link.springer.com/10.1007/s12018-019-09261-3","Review"
"Maidarti M","The ovaries of transgender men indicate effects of high dose testosterone on the primordial and early growing follicle pool","Reproduction and Fertility",2023,"raf.bioscientifica.com/view/journals/raf/4/2/RAF-22-0102.xml","Data Analysis"
"Asseler J","Desire for children and fertility preservation in transgender and gender-diverse people: A systematic review","Best Practice & Research Clinical Obstetrics & Gynaecology",2023,"linkinghub.elsevier.com/retrieve/pii/S1521693423000019","Review"
"GomezLobo V","Fertility Options for the Transgender and Gender Nonbinary Patient","The Journal of Clinical Endocrinology and Metabolism",2020,"academic.oup.com/jcem/article/105/10/3335/5892794","Review"
"Peri A J S","Rates of Fertility Preservation Use Among Transgender Adolescents","JAMA Pediatrics",2020,"jamanetwork.com/journals/jamapediatrics/fullarticle/2764075","Data Analysis"
"Trottmann M","How do elevated levels of testosterone affect the function of the human fallopian tube and fertility?—New insights","Molecular Reproduction and Development",2020,"onlinelibrary.wiley.com/doi/abs/10.1002/mrd.23291","Data Analysis"
"Myers S A","Fertility preservation for transgender adolescents and young adults: a systematic review","Human Reproduction Update",2019,"academic.oup.com/humupd/article/25/6/694/5601536","Data Analysis"
"Sakkas D","Assisted reproductive technology outcomes in female-to-male transgender patients compared with cisgender patients: a new frontier in reproductive medicine","Fertility and Sterility",2019,"www.fertstert.org/article/S0015-0282(19)30619-3/fulltext","Data Analysis"
"Pastuszak A W","Fertility concerns of the transgender patient","Translational Andrology and Urology",2019,"http://tau.amegroups.com/article/view/26091/24253","Review"
"Spencer J B","Fertility preservation options in transgender people: A review","Reviews in Endocrine and Metabolic Disorders",2018,"http://link.springer.com/10.1007/s11154-018-9462-3","Review"
"Jeftovic M","Gender Dysphoria: Bioethical Aspects of Medical Treatment","BioMed Research International",2018,"www.hindawi.com/journals/bmri/2018/9652305/","Review"
"Tishelman A C","Low Fertility Preservation Utilization Among Transgender Youth","The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine",2017,"www.jahonline.org/article/S1054-139X(16)30958-2/fulltext","Data Analysis"
"CohenKettenis P T","Clinical management of gender identity disorder in adolescents: a protocol on psychological and paediatric endocrinology aspects","European Journal of Endocrinology",2006,"academic.oup.com/ejendo/article-abstract/155/Supplement_1/S131/6695708?redirectedFrom=fulltext","Data Analysis"
"Maheshwari C","Fertility preservation in transgender youth from initial counseling through preservation procedures: A retrospective cross-sectional study","Journal of Pediatric and Adolescent Gynecology",2026,"www.jpagonline.org/article/S1083-3188(26)00005-7/abstract","Data Analysis"
"Troka E","Semen Quality in Transgender Individuals Seeking Fertility Preservation","Andrology",2026,"onlinelibrary.wiley.com/doi/abs/10.1111/andr.70268","Data Analysis"
"Gieles N C","Appraisal of Sexual Life Among Midlife and Older Transgender People in The Netherlands Receiving Long-Term Gender-Affirming Medical Care","Journal of Sex & Marital Therapy",2026,"doi.org/10.1080/0092623X.2026.2662324","Data Analysis"
"Neuville P","Sexuality and erectile function in transgender women prior to gender-affirming surgery: a descriptive study","The Journal of Sexual Medicine",2026,"doi.org/10.1093/jsxmed/qdag125","Data Analysis"
"Ferrando C A","Clitoral sensation and report of orgasm following vulvoplasty and vaginoplasty surgery in transgender women","The Journal of Sexual Medicine",2025,"https://doi.org/10.1093/jsxmed/qdaf290","Data Analysis"
"Lunn M R","Testosterone use and sexual function among transgender men and gender diverse people assigned female at birth","American Journal of Obstetrics and Gynecology",2023,"linkinghub.elsevier.com/retrieve/pii/S0002937823006051","Data Analysis"
"Lami A","Changes in cardiometabolic risk factors in transmasculine individuals over 10 years of Gender-Affirming Hormone Therapy","Journal of Endocrinological Investigation",2026,"doi.org/10.1007/s40618-026-02906-3","Data Analysis"
"Fauchier L","Response to Dr. Sarah C.J. Jorgensen's letter: Addressing Immortal Time Bias and Methodological Concerns in Testosterone Therapy Research","European Journal of Endocrinology",2025,"doi.org/10.1093/ejendo/lvaf238","Editorial"
"Vaduva P","Testosterone therapy and the risk of atrial fibrillation, venous thromboembolism and cardiovascular events in cis men with hypogonadism and trans men","European Journal of Endocrinology",2025,"doi.org/10.1093/ejendo/lvaf183","Data Analysis"
"Scarbro S L","Body Composition and Markers of Cardiometabolic Health in Transgender Youth on Gonadotropin-Releasing Hormone Agonists","Transgender Health",2021,"www.liebertpub.com/doi/10.1089/trgh.2020.0029","Data Analysis"
"Nguyen T","Cardiovascular Disease Risk Factors and Myocardial Infarction in the Transgender Population","Circulation: Cardiovascular Quality and Outcomes",2019,"www.ahajournals.org/doi/10.1161/CIRCOUTCOMES.119.005597","Data Analysis"
"Ielapi N","Transgender Vascular Health: Interactions Between Gender Identity, Hormone Therapy, and Vascular Disease Risk","Journal of Vascular Diseases",2026,"www.mdpi.com/2813-2475/5/3/23","Review"
"Cunningham H","Venous Thromboembolism in Transgender and Gender Diverse Individuals on Estrogen-Based Gender-Affirming Hormone Therapy","Journal of Clinical Medicine",2026,"www.mdpi.com/2077-0383/15/11/4166","Data Analysis"
"Tuisku K","Psychiatric Morbidity Among Adolescents and Young Adults Who Contacted Specialised Gender Identity Services in Finland in 1996–2019: A Register Study","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70533","Data Analysis"
"Fernandez M I","Fluidity in Reporting Gender Identity Labels in a Sample of Transgender and Gender Diverse Adolescents and Young Adults, Los Angeles, California, and New Orleans, Louisiana, 2017-2019","Public Health Reports",2024,"http://journals.sagepub.com/doi/10.1177/00333549231223922","Data Analysis"
"Littman L","The U.S. Transgender Survey of 2015 Supports Rapid-Onset Gender Dysphoria: Revisiting the “Age of Realization and Disclosure of Gender Identity Among Transgender Adults.”","Archives of Sexual Behavior",2023,"link.springer.com/10.1007/s10508-023-02754-9","Editorial"
"Xie H","The mean age of gender dysphoria diagnosis is decreasing","General Psychiatry",2023,"onlinelibrary.wiley.com/doi/10.1136/gpsych-2022-100972","Data Analysis"
"McClure G","Australian children and adolescents with gender dysphoria: Clinical presentations and challenges experienced by a multidisciplinary team and gender service","Human Systems",2021,"journals.sagepub.com/doi/10.1177/26344041211010777","Data Analysis"
"Chudleigh C","Attachment Patterns in Children and Adolescents With Gender Dysphoria","Frontiers in Psychology",2021,"www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.582688/full","Data Analysis"
"Bradley S J","A Follow-Up Study of Boys With Gender Identity Disorder","Frontiers in Psychiatry",2021,"www.frontiersin.org/articles/10.3389/fpsyt.2021.632784/full","Data Analysis"
"Clifford D","Gender incongruence in children, adolescents, and adults","British Journal of General Practice",2019,"http://bjgp.org/lookup/doi/10.3399/bjgp19X701909","Editorial"
"Carmichael P","Evidence for a Change in the Sex Ratio of Children Referred for Gender Dysphoria: Data From the Gender Identity Development Service in London (2000–2017)","The Journal of Sexual Medicine",2018,"linkinghub.elsevier.com/retrieve/pii/S174360951831107X","Data Analysis"
"Giovanardi G","Sex Ratio in Children and Adolescents Referred to the Gender Identity Development Service in the UK (2009–2016)","Archives of Sexual Behavior",2018,"http://link.springer.com/10.1007/s10508-018-1204-9","Editorial"
"Steensma T D","Gender dysphoria in childhood","International Review of Psychiatry",2016,"www.tandfonline.com/doi/full/10.3109/09540261.2015.1115754","Review"
"Gorin M","Trans Kids and “Making Up People”","Journal of Controversial Ideas",2026,"journalofcontroversialideas.org/article/6/1/323","Review"
"Barkmann C","Ten years of a gender identity service for children and adolescents in Germany: demographic and clinical patterns","European Child & Adolescent Psychiatry",2026,"link.springer.com/10.1007/s00787-026-03080-w","Data Analysis"
